iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
740,497.27,147.49,6.76,64.92,1.57,1.86,1.1024998426437378,6.1423144,5.9768505,6.2432303,8.662701,6.1685786,6.022825,6.5358133,6.5432067,6.3562784,6.2718215
760,511.14,160.05,6.45,66.82,1.58,1.97,1.1024998426437378,6.2230988,6.103311,6.4916773,8.652384,6.3381834,6.1696067,6.796579,6.7406673,6.881463,6.418334
780,502.98,158.09,6.69,64.03,1.51,1.7,1.1024998426437378,6.1197577,5.94032,6.2959375,7.501438,6.149749,6.180822,6.5669975,6.468616,6.536758,6.2716765
800,515.67,163.76,6.6,66.18,1.78,1.87,1.1576248407363892,6.1348763,6.032295,6.663877,8.241026,6.386781,6.2151604,6.6020803,6.6826067,6.7291503,6.4904814
820,514.78,166.32,6.64,64.66,1.56,2.04,1.1576248407363892,6.1276064,6.114524,6.1915493,7.853756,6.113088,5.9625463,6.6887584,6.47499,6.4516745,6.682929
840,510.45,165.2,6.89,62.65,1.64,2.25,1.1576248407363892,6.0006638,6.0667667,6.2727504,6.519186,6.400165,6.026741,6.2711134,6.4016027,6.109821,6.5825214
860,502.81,153.98,6.92,63.29,1.47,1.78,1.1576248407363892,6.070007,5.9629507,6.052774,7.0283294,6.239048,6.11088,6.4099326,6.3084793,6.5312347,6.5793047
880,495.12,150.12,6.79,62.97,1.86,1.96,1.1576248407363892,6.3192005,6.0108886,5.9731226,6.549005,6.4110656,6.283422,6.1853676,6.439022,6.268112,6.526821
900,498.39,156.91,6.69,62.67,1.46,1.95,1.2155060768127441,6.3083963,5.763408,6.095417,6.5679216,6.294779,6.2100706,6.535327,6.298974,6.1581855,6.440852
920,501.27,153.09,6.89,62.6,1.91,1.94,1.2155060768127441,6.2663755,5.9414134,6.011789,6.2325344,6.546603,6.1360435,6.4460573,6.489956,6.116054,6.416261
940,505.29,164.82,6.1,64.76,1.7,2.02,1.2155060768127441,6.559747,6.366172,6.3164496,6.563875,6.5677085,6.236519,6.496156,6.406469,6.448354,6.794244
960,505.62,160.55,6.51,63.97,1.42,2.07,1.2155060768127441,6.2683315,6.1945953,6.407731,6.855688,6.347687,6.058935,6.249128,6.539544,6.533674,6.5123463
980,513.31,170.79,5.91,66.25,1.56,2.1,1.2155060768127441,6.4108825,6.5092826,6.749344,7.215427,6.4691725,6.3767233,6.22423,6.749358,6.9836783,6.564975
1000,492.89,150.47,6.64,62.65,1.39,2.05,1.2762813568115234,6.2036896,6.3431997,6.2933426,6.4900007,6.1826453,6.1005716,6.1854167,6.13363,6.415998,6.3062105
1020,503.19,156.68,6.5,63.71,1.65,2.03,1.2762813568115234,6.20025,6.3616524,6.312908,6.7311893,6.3352904,6.2558265,6.331249,6.3603725,6.4527187,6.372631
1040,489.62,147.87,6.42,62.92,1.39,1.67,1.2762813568115234,6.12716,6.326638,6.4351745,6.5691047,6.225994,6.300562,6.1510344,6.240194,6.4022,6.1399126
1060,491.41,143.62,6.88,62.06,1.19,1.57,1.2762813568115234,5.918363,6.188946,6.2886252,6.6297164,6.236631,6.070598,6.1944256,6.108888,6.237415,6.1859884
1080,511.6,162.84,6.18,65.92,1.47,1.94,1.2762813568115234,6.4046125,6.4031386,6.59066,7.007601,6.61001,6.397278,6.743589,6.4694495,6.611331,6.680829
1100,498.84,157.24,6.22,63.95,1.31,1.74,1.3400954008102417,6.2076073,6.2089605,6.3466654,6.4573393,6.581237,6.2110767,6.537898,6.3113894,6.543396,6.54216
1120,486.5,138.81,6.75,62.08,1.28,1.77,1.3400954008102417,6.1257067,6.215261,6.0174675,6.2630024,6.42636,6.0470715,6.215226,6.1824045,6.4316816,6.157014
1140,495.71,148.86,6.54,63.01,1.35,2.0,1.3400954008102417,6.2875166,6.249818,6.437499,6.4312773,6.408893,6.1818953,6.0186534,6.166588,6.5441513,6.2875
1160,510.05,160.25,6.15,65.76,1.46,2.03,1.3400954008102417,6.4267616,6.5519385,6.3486667,6.866538,6.5920935,6.4423275,6.622672,6.588092,6.657214,6.6598353
1180,495.14,146.33,6.55,63.37,1.46,1.74,1.3400954008102417,6.116069,6.2853403,6.355678,6.6325293,6.229122,6.252491,6.3764925,6.462783,6.430644,6.2330985
1200,487.15,146.29,6.26,62.94,1.48,1.89,1.4071000814437866,6.2315884,6.175136,6.1590605,6.781294,6.2572556,6.0275745,6.209678,6.223024,6.621849,6.251348
1220,484.12,140.52,6.04,64.18,1.3,1.94,1.4071000814437866,6.359256,6.2216487,6.3873825,6.843404,6.2824306,6.1627655,6.3695974,6.5491004,6.5895615,6.410058
1240,494.6,146.96,6.48,62.79,1.58,1.75,1.4071000814437866,6.105999,6.3133903,6.387624,6.4318047,6.243531,6.009898,6.2049437,6.1226683,6.482892,6.483383
1260,499.06,153.48,6.04,64.68,1.3,1.87,1.4071000814437866,6.306573,6.40405,6.6614776,6.5396404,6.3107758,6.284833,6.462659,6.339924,6.9959974,6.378709
1280,490.83,146.88,6.29,62.97,1.33,2.01,1.4071000814437866,6.186599,6.125698,6.446724,6.4813404,6.118297,6.155283,6.236698,6.3881836,6.607618,6.2245803
1300,477.31,135.1,6.35,62.21,1.77,2.41,1.4774550199508667,6.238796,6.061596,6.2676425,6.3198214,6.1045465,6.158258,6.198004,6.1971884,6.386198,6.281245
1320,490.85,138.31,6.61,62.7,1.69,2.3,1.4774550199508667,6.1224546,6.117181,6.085437,6.4529686,6.1926346,6.23068,6.366334,6.219964,6.5158844,6.394475
1340,492.45,139.23,6.49,63.42,1.78,2.0,1.4774550199508667,6.190277,6.0579634,6.505246,6.170185,6.34052,6.2520914,6.7056313,6.306547,6.578603,6.316297
1360,485.82,138.94,6.35,62.66,1.63,2.07,1.4774550199508667,6.0511055,6.053726,6.2514954,6.2890244,6.149601,6.1090865,6.5205975,6.3741903,6.5975623,6.2633514
1380,491.95,143.7,6.27,63.44,1.69,2.02,1.4774550199508667,6.32192,6.1638308,6.295408,6.222889,6.312747,6.2340984,6.333596,6.425821,6.791458,6.3399863
1400,494.42,143.26,5.97,65.73,1.86,2.21,1.5513277053833008,6.4265347,6.4587765,6.610962,6.556104,6.602021,6.3857913,6.546485,6.7551837,6.8754935,6.5125923
1420,497.12,143.28,6.27,64.1,2.05,2.22,1.5513277053833008,6.459699,6.3624945,6.430458,6.5134573,6.319392,6.2781134,6.1683273,6.4105697,6.7168884,6.441787
1440,483.37,135.68,6.24,62.83,1.33,2.08,1.5513277053833008,6.2108626,6.3290725,6.1858253,6.306974,6.260624,6.1736755,6.162348,6.3005934,6.713348,6.1910057
1460,491.65,141.23,6.12,64.08,2.17,2.4,1.5513277053833008,6.483869,6.3616805,6.4044704,6.2575736,6.5773563,6.190632,6.2966394,6.331354,6.6824245,6.498229
1480,498.01,146.57,6.24,63.63,2.14,2.34,1.5513277053833008,6.4229155,6.4158607,6.110498,6.2863503,6.7085953,6.1905017,6.273821,6.342395,6.421382,6.4591346
1500,501.41,149.26,6.14,64.45,1.84,2.26,1.6288939714431763,6.517282,6.536764,6.511961,6.4299517,6.439869,6.324748,6.281891,6.358518,6.5603733,6.4864516
1520,496.51,140.47,6.1,64.92,2.11,2.52,1.6288939714431763,6.7062297,6.5282555,6.6508217,6.600688,6.426752,6.33382,6.3211317,6.3733306,6.3948174,6.5866385
1540,501.31,143.13,6.34,64.1,1.89,2.35,1.6288939714431763,6.744031,6.2645626,6.6018806,6.4796042,6.5369797,6.087905,6.254148,6.2086825,6.5991707,6.3195686
1560,510.4,150.77,5.86,67.09,2.03,2.33,1.6288939714431763,6.7066946,6.5141735,6.646228,6.7662535,6.927053,6.2581835,6.7074447,6.950071,7.1458797,6.4722633
1580,496.78,142.13,6.13,64.28,2.08,2.04,1.6288939714431763,6.512241,6.2785144,6.5104403,6.708812,6.4024577,6.1952486,6.2516594,6.1426573,6.7493925,6.531761
1600,492.14,134.11,6.2,64.79,1.97,2.22,1.7103385925292969,6.531726,6.20458,6.6602683,6.535084,6.551156,6.218725,6.485359,6.258415,6.951393,6.397667
1620,499.89,141.14,5.9,66.03,1.78,2.43,1.7103385925292969,6.579939,6.407859,6.5510817,6.794301,6.644578,6.5865507,6.5018363,6.581529,6.8216248,6.563998
1640,507.05,147.65,5.91,66.02,2.08,2.41,1.7103385925292969,6.6571264,6.6671557,6.5764556,6.69765,6.9057875,6.3580008,6.6128435,6.411503,6.494129,6.635133
1660,500.57,139.05,6.16,65.15,1.93,2.25,1.7103385925292969,6.362901,6.4877067,6.583774,6.6587887,6.570031,6.1905494,6.5474987,6.5023375,6.769622,6.472745
1680,498.42,141.36,6.14,64.33,1.47,2.39,1.7103385925292969,6.4575253,6.3512917,6.400401,6.567421,6.5585976,6.2414618,6.4503393,6.262611,6.409677,6.633281
1700,491.07,134.63,6.11,64.16,1.7,1.99,1.7958554029464722,6.211492,6.478717,6.3161507,6.454908,6.417939,6.267179,6.4189677,6.389989,6.7838507,6.420761
1720,489.22,132.84,6.03,63.79,1.71,1.92,1.7958554029464722,6.2003956,6.6487722,6.496044,6.5157886,6.1899223,6.276905,6.2379694,6.2541494,6.6729865,6.2974195
1740,487.26,126.22,6.07,64.91,1.41,2.21,1.7958554029464722,6.2461147,6.454442,6.5904293,6.48777,6.3602023,6.4212008,6.405361,6.592933,6.8148594,6.533885
1760,504.58,143.26,6.06,65.03,1.68,2.53,1.7958554029464722,6.3819094,6.608251,6.8561125,6.4580855,6.3449955,6.5036445,6.4164457,6.3285747,6.630632,6.4973097
1780,509.19,142.76,6.33,64.59,1.68,1.85,1.7958554029464722,6.281797,6.611856,6.7047324,6.183982,6.394065,6.4854517,6.405884,6.3729286,6.791128,6.3543944
1800,493.19,131.15,6.12,64.74,1.8,2.09,1.8856481313705444,6.58206,6.4439306,6.787645,6.107113,6.643842,6.5047903,6.416837,6.4494286,6.4940486,6.31311
1820,499.85,132.71,5.88,66.6,1.93,2.36,1.8856481313705444,6.875785,6.6748,6.924923,6.476839,6.841066,6.5203757,6.700632,6.3954864,6.628898,6.5629053
1840,494.15,128.97,5.98,65.63,1.9,2.7,1.8856481313705444,6.8301315,6.663333,6.4955764,6.40448,6.717226,6.5263643,6.435598,6.5107574,6.453125,6.589176
1860,509.65,146.74,5.86,65.77,1.53,2.39,1.8856481313705444,6.4691286,6.460414,6.442753,6.5635242,6.615171,6.395302,6.6810145,6.6857624,6.804411,6.651933
1880,492.17,124.88,6.39,63.68,1.69,2.21,1.8856481313705444,6.25501,6.3506813,6.212513,6.2987604,6.5648704,6.245598,6.321495,6.5702143,6.444374,6.4143844
1900,510.32,144.91,5.79,66.61,2.19,2.36,1.9799304008483887,6.7195473,6.434188,6.6567836,6.653169,6.6394515,6.3129854,6.915184,6.777261,6.904306,6.596875
1920,498.73,129.28,5.98,65.71,2.09,2.39,1.9799304008483887,6.447057,6.6512375,6.623189,6.7892065,6.659025,6.187603,6.338521,6.727127,6.8174586,6.473573
1940,498.33,125.9,6.24,64.99,1.68,2.39,1.9799304008483887,6.318429,6.333885,6.577116,6.6176033,6.748066,6.1116767,6.651428,6.5813293,6.520694,6.53227
1960,503.62,132.74,5.85,66.96,1.62,2.27,1.9799304008483887,6.6579094,6.4692736,6.9298687,6.6970882,6.940395,6.3768787,6.5369425,6.776417,6.8827906,6.693332
1980,487.5,119.84,5.88,65.91,1.7,2.21,1.9799304008483887,6.476831,6.4787254,6.7765007,6.5760784,6.925358,6.199667,6.39985,6.792909,6.767828,6.519435
2000,505.93,140.73,5.77,66.04,1.9,2.76,2.0789268016815186,6.4099784,6.6474853,6.8723617,6.539197,6.8588095,6.2727776,6.4071364,6.578458,7.0006595,6.4574966
2020,495.54,125.38,6.2,63.74,1.63,2.24,2.0789268016815186,6.1248655,6.318306,6.30001,6.517156,6.714367,6.085063,6.2084455,6.4999437,6.582954,6.3932014
2040,477.45,113.22,5.91,64.0,1.84,2.35,2.0789268016815186,6.27363,6.2877264,6.3103724,6.388549,6.8160667,6.177146,6.418232,6.351976,6.5803547,6.3965807
2060,506.71,129.63,6.04,66.4,1.87,2.26,2.0789268016815186,6.6049037,6.527988,6.4505706,6.294397,7.1517043,6.422394,6.6451454,6.8677897,6.798027,6.639877
2080,499.56,127.48,5.77,66.9,1.94,2.64,2.0789268016815186,6.536514,6.8023815,6.375652,6.8191986,6.951003,6.5649443,6.508291,6.8128676,6.545143,6.9849715
2100,499.6,121.15,6.31,65.08,1.69,2.05,2.182873010635376,6.5823984,6.365156,6.212185,6.5067053,6.3578987,6.293292,6.4468665,6.8854713,7.0568504,6.375705
2120,503.48,130.56,5.84,65.69,1.95,2.33,2.182873010635376,6.5184813,6.4306307,6.381124,6.493927,6.7658787,6.6043563,6.4543085,6.752571,6.658223,6.63236
2140,497.38,124.56,5.86,65.53,1.93,2.31,2.182873010635376,6.6033134,6.262506,6.650279,6.4919596,6.698272,6.43159,6.551609,6.606798,6.6214504,6.609974
2160,512.68,131.96,6.04,66.43,1.82,2.33,2.182873010635376,6.7163677,6.2181225,6.80327,6.5099845,6.7824326,6.411213,6.5771656,6.754928,6.9535823,6.702041
2180,525.12,146.42,5.72,67.93,2.09,2.85,2.182873010635376,7.1018896,6.457214,6.618023,6.948004,6.6525993,6.605708,6.6525702,7.342073,6.9478073,6.601676
2200,503.31,123.12,6.21,65.17,1.94,2.41,2.2920165061950684,6.693975,6.3319693,6.6617403,6.469985,6.442894,6.314804,6.398323,7.071722,6.555479,6.225837
2220,511.73,127.08,6.09,66.1,1.99,2.47,2.2920165061950684,6.6384296,6.4331183,6.9984055,6.383472,6.678321,6.6376452,6.6559696,6.8068924,6.398866,6.4644146
2240,515.58,133.9,5.66,68.04,1.94,2.32,2.2920165061950684,6.6788893,6.483138,7.2928915,6.5559573,6.802603,6.836414,7.0033417,7.193308,6.5125656,6.681967
2260,500.2,121.97,5.85,65.97,1.9,2.14,2.2920165061950684,6.3914423,6.6882873,6.852021,6.6798534,6.3313055,6.7632675,6.3953123,7.0644617,6.5783987,6.22837
2280,523.13,130.73,5.93,69.1,2.19,2.77,2.2920165061950684,7.03366,6.5799003,6.8826733,7.2417145,6.618213,6.862482,6.773443,7.5307274,6.9224486,6.651952
2300,511.88,121.81,6.22,66.63,2.04,2.79,2.4066171646118164,6.80072,6.3644295,6.467041,6.9374733,6.5867033,6.600694,6.53388,7.304309,6.6135426,6.4216533
2320,527.24,133.54,5.96,68.13,2.11,2.48,2.4066171646118164,6.513652,6.6063757,7.125921,7.030425,6.589092,6.5909514,6.8946905,7.4516287,6.5930037,6.735422
