iteration,total_loss,recon_loss,total_corr,betaVAE_kld,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
20,4694.53125,3042.398681640625,37.70415115356445,0.21300815045833588,1.0,0,0.01048523,0.007915603,0.03200718,0.022162983,0.019258047,0.015876116,0.018636966,0.0457718,0.01878484,0.022109365
40,4159.306640625,2504.281982421875,37.70136260986328,0.782020628452301,1.0,0,0.042186666,0.05462557,0.100277856,0.08061415,0.0658801,0.07909604,0.13277857,0.046636138,0.07295921,0.10696634
60,3069.900146484375,1390.4969482421875,37.60841369628906,7.032324314117432,1.0,0,0.40642393,0.58887917,1.0905875,0.54159564,0.49417454,0.82836854,1.1771774,0.2791692,0.621973,1.0039749
80,2829.669189453125,1177.0772705078125,37.563194274902344,2.7449464797973633,1.0,0,0.17597708,0.1207517,0.5206642,0.21184881,0.08168853,0.34359938,0.36159083,0.21138483,0.21633443,0.5011067
100,2496.56689453125,846.3312377929688,37.5339469909668,2.921828031539917,1.0,0,0.15883908,0.15849878,0.433329,0.2497087,0.1563111,0.3173212,0.30909193,0.41476944,0.2736411,0.4503177
120,2272.3662109375,719.9267578125,35.781768798828125,10.316262245178223,1.0,0,0.40718547,0.5812134,0.7811744,1.4162413,0.57247037,0.9877137,0.8822499,2.545743,1.1032189,1.0390522
