iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
880,2490.87,318.16,29.04,8.59,0.3,0.4,1.0,2.05,2.03,0.59,0.46,0.54,0.61,0.71,0.58,0.39,0.61
900,2469.11,303.18,28.83,8.91,0.27,0.38,1.0,2.16,2.11,0.58,0.67,0.4,0.47,0.72,0.46,0.68,0.65
920,2465.23,312.25,29.23,8.54,0.27,0.38,1.0,1.99,2.05,0.63,0.62,0.37,0.54,0.84,0.48,0.42,0.6
940,2443.69,300.56,28.67,8.96,0.25,0.44,1.0,2.08,2.07,0.6,0.54,0.68,0.69,0.68,0.45,0.5,0.67
960,2513.38,293.24,28.4,9.13,0.33,0.46,1.0,2.15,2.1,0.56,0.58,0.59,0.57,0.77,0.62,0.39,0.81
980,2478.81,299.25,27.77,9.57,0.28,0.43,1.0,2.11,2.08,0.62,0.67,0.72,0.73,0.7,0.58,0.64,0.72
1000,2451.84,300.27,29.25,8.2,0.3,0.44,1.0,1.94,1.94,0.56,0.58,0.43,0.53,0.64,0.54,0.37,0.67
1020,2440.03,294.32,27.83,9.32,0.27,0.45,1.0,2.15,2.08,0.62,0.63,0.58,0.63,0.8,0.63,0.43,0.78
1040,2442.88,288.79,29.02,8.52,0.29,0.44,1.0,1.96,1.96,0.61,0.58,0.56,0.64,0.7,0.55,0.37,0.59
1060,2487.43,277.44,28.98,8.58,0.34,0.44,1.0,2.05,2.04,0.48,0.62,0.43,0.42,0.71,0.59,0.52,0.73
1080,2485.05,293.83,27.24,10.07,0.28,0.37,1.0,2.38,2.31,0.55,0.7,0.54,0.49,0.91,0.67,0.64,0.89
1100,2412.24,283.65,28.62,8.86,0.25,0.4,1.0,2.1,2.06,0.55,0.54,0.45,0.5,0.81,0.56,0.48,0.82
1120,2377.83,277.74,29.54,7.75,0.27,0.35,1.0,1.89,1.9,0.53,0.47,0.37,0.48,0.67,0.48,0.35,0.6
1140,2357.98,262.87,28.9,8.58,0.23,0.4,1.0,2.04,1.98,0.48,0.56,0.72,0.73,0.57,0.42,0.58,0.51
1160,2464.28,280.94,27.71,9.73,0.28,0.42,1.0,2.27,2.26,0.71,0.52,0.55,0.61,0.84,0.57,0.54,0.86
1180,2420.36,263.48,28.63,8.69,0.3,0.48,1.0,2.05,2.03,0.67,0.42,0.6,0.71,0.61,0.47,0.42,0.7
1200,2436.96,279.76,28.45,8.87,0.29,0.41,1.0,2.16,2.05,0.5,0.54,0.55,0.53,0.65,0.49,0.67,0.75
1220,2418.66,281.06,28.53,8.53,0.3,0.47,1.0,2.12,2.04,0.5,0.47,0.49,0.48,0.66,0.49,0.52,0.76
1240,2405.56,255.05,28.79,8.7,0.28,0.43,1.0,2.09,2.04,0.51,0.49,0.49,0.53,0.74,0.64,0.42,0.76
1260,2446.76,283.8,28.79,9.02,0.26,0.4,1.0,2.14,2.1,0.59,0.64,0.51,0.65,0.62,0.48,0.69,0.62
1280,2371.38,283.08,28.65,8.57,0.24,0.51,1.0,2.13,2.1,0.51,0.47,0.41,0.49,0.61,0.54,0.52,0.78
1300,2432.89,290.03,28.65,8.7,0.28,0.56,1.0,2.19,2.16,0.5,0.55,0.36,0.43,0.73,0.6,0.42,0.75
1320,2372.12,263.19,28.13,8.7,0.28,0.47,1.0,2.06,2.05,0.52,0.59,0.47,0.48,0.65,0.56,0.54,0.77
1340,2437.23,261.21,29.54,8.39,0.29,0.45,1.0,1.92,1.92,0.75,0.45,0.68,0.76,0.55,0.37,0.51,0.47
1360,2416.05,282.5,29.11,8.1,0.3,0.45,1.0,1.89,1.94,0.67,0.42,0.55,0.6,0.55,0.42,0.42,0.63
1380,2380.49,268.33,28.51,8.7,0.26,0.39,1.0,2.04,2.04,0.66,0.48,0.5,0.61,0.64,0.54,0.48,0.69
1400,2354.34,266.21,26.91,9.58,0.24,0.49,1.0,2.26,2.22,0.66,0.53,0.68,0.6,0.69,0.51,0.68,0.74
1420,2380.25,276.22,28.46,8.55,0.27,0.49,1.0,2.04,2.03,0.55,0.51,0.52,0.53,0.63,0.52,0.53,0.71
1440,2373.02,268.75,28.19,8.82,0.26,0.41,1.0,2.03,2.07,0.77,0.45,0.59,0.73,0.66,0.48,0.43,0.62
1460,2402.18,270.62,27.77,9.25,0.27,0.43,1.0,2.11,2.19,0.74,0.44,0.69,0.71,0.75,0.51,0.45,0.68
1480,2438.95,286.91,27.68,9.35,0.28,0.42,1.0,2.13,2.16,0.73,0.59,0.55,0.57,0.82,0.66,0.49,0.64
1500,2400.9,267.45,27.97,9.38,0.25,0.41,1.0,2.21,2.24,0.76,0.53,0.43,0.48,0.79,0.62,0.45,0.87
1520,2404.32,266.01,27.05,9.83,0.26,0.43,1.0,2.27,2.28,0.75,0.59,0.54,0.57,0.85,0.67,0.47,0.83
1540,2410.59,270.73,28.41,8.79,0.28,0.42,1.0,2.04,2.06,0.62,0.66,0.56,0.55,0.7,0.52,0.52,0.57
1560,2442.05,290.4,28.27,9.17,0.27,0.39,1.0,2.12,2.2,0.7,0.48,0.61,0.73,0.62,0.51,0.48,0.73
1580,2345.99,250.37,27.56,9.07,0.26,0.45,1.0,2.1,2.2,0.58,0.55,0.57,0.54,0.74,0.59,0.49,0.71
1600,2378.12,259.86,28.31,8.61,0.29,0.4,1.0,2.03,2.04,0.61,0.49,0.6,0.63,0.62,0.44,0.53,0.62
1620,2389.89,260.62,28.26,9.11,0.25,0.46,1.0,2.21,2.26,0.64,0.42,0.44,0.56,0.72,0.61,0.41,0.84
1640,2397.02,267.71,27.79,9.26,0.26,0.35,1.0,2.12,2.18,0.73,0.5,0.53,0.63,0.86,0.65,0.41,0.64
1660,2379.43,261.97,29.03,8.23,0.28,0.38,1.0,1.95,1.95,0.5,0.56,0.54,0.53,0.54,0.53,0.59,0.54
